2026-03-04 17:23:04 | INFO     | forex_scraper.scrape | [USDINR] Cookies primed. Waiting 2.5s...
2026-03-04 17:23:06 | INFO     | forex_scraper.scrape | [USDINR] Calling historical API...
2026-03-04 17:23:08 | INFO     | forex_scraper.scrape | [USDINR] Status: 200
2026-03-04 17:23:08 | INFO     | forex_scraper.scrape | [USDINR] Parsed 1611 records
2026-03-04 17:23:08 | INFO     | currency_scrape.service | [USDINR] OK 1611 records scraped
2026-03-04 17:23:08 | INFO     | currency_scrape.service | Waiting 6.2s before next pair...
2026-03-04 17:23:15 | INFO     | forex_scraper.scrape | [EURUSD] Priming cookies via main page...
2026-03-04 17:23:15 | INFO     | forex_scraper.scrape | [EURUSD] Cookies primed. Waiting 3.3s...
2026-03-04 17:23:18 | INFO     | forex_scraper.scrape | [EURUSD] Calling historical API...
2026-03-04 17:23:21 | INFO     | forex_scraper.scrape | [EURUSD] Status: 200
2026-03-04 17:23:21 | INFO     | forex_scraper.scrape | [EURUSD] Parsed 1611 records
2026-03-04 17:23:21 | INFO     | currency_scrape.service | [EURUSD] OK 1611 records scraped
2026-03-04 17:23:21 | INFO     | currency_scrape.service | Waiting 6.4s before next pair...
2026-03-04 17:23:27 | INFO     | forex_scraper.scrape | [EURINR] Priming cookies via main page...
2026-03-04 17:23:28 | INFO     | forex_scraper.scrape | [EURINR] Cookies primed. Waiting 2.6s...
2026-03-04 17:23:31 | INFO     | forex_scraper.scrape | [EURINR] Calling historical API...
2026-03-04 17:23:31 | INFO     | forex_scraper.scrape | [EURINR] Status: 429
2026-03-04 17:23:31 | INFO     | currency_scrape.service | Waiting 4.4s before next pair...
2026-03-04 17:23:35 | INFO     | forex_scraper.scrape | [GBPINR] Priming cookies via main page...
2026-03-04 17:23:36 | INFO     | forex_scraper.scrape | [GBPINR] Cookies primed. Waiting 2.0s...
2026-03-04 17:23:38 | INFO     | forex_scraper.scrape | [GBPINR] Calling historical API...
2026-03-04 17:23:39 | INFO     | forex_scraper.scrape | [GBPINR] Status: 429
2026-03-04 17:23:39 | INFO     | currency_scrape.service | Waiting 5.8s before next pair...
2026-03-04 17:23:44 | INFO     | forex_scraper.scrape | [USDJPY] Priming cookies via main page...
2026-03-04 17:23:45 | INFO     | forex_scraper.scrape | [USDJPY] Cookies primed. Waiting 2.5s...
2026-03-04 17:23:47 | INFO     | forex_scraper.scrape | [USDJPY] Calling historical API...
2026-03-04 17:23:47 | INFO     | forex_scraper.scrape | [USDJPY] Status: 429
2026-03-04 17:23:47 | INFO     | currency_scrape.service | Waiting 7.1s before next pair...
2026-03-04 17:23:54 | INFO     | forex_scraper.scrape | [GBPUSD] Priming cookies via main page...
2026-03-04 17:23:55 | INFO     | forex_scraper.scrape | [GBPUSD] Cookies primed. Waiting 2.3s...
